estadio	ciudad	partido_orden	fecha	nombre_eq_1	nombre_eq_2	goles_eq_1	goles_eq_2
Estadio Carlos Dittborn	Arica	(17)	6 June	Soviet Union	Uruguay	2	1
Estadio Carlos Dittborn	Arica	(21)	7 June	Yugoslavia	Colombia	5	0
Estadio Nacional	Santiago	(2)	30 May	Chile	Switzerland	3	1
Estadio Nacional	Santiago	(6)	31 May	West Germany	Italy	0	0
Estadio Nacional	Santiago	(10)	2 June	Chile	Italy	2	0
Estadio Nacional	Santiago	(14)	3 June	West Germany	Switzerland	2	1
Estadio Nacional	Santiago	(18)	6 June	West Germany	Chile	2	0
Estadio Nacional	Santiago	(22)	7 June	Italy	Switzerland	3	0
Estadio Sausalito	Viña del Mar	(3)	30 May	Brazil	Mexico	2	0
Estadio Sausalito	Viña del Mar	(7)	31 May	Czechoslovakia	Spain	1	0
Estadio Sausalito	Viña del Mar	(11)	2 June	Brazil	Czechoslovakia	0	0
Estadio Sausalito	Viña del Mar	(15)	3 June	Spain	Mexico	1	0
Estadio Sausalito	Viña del Mar	(19)	6 June	Brazil	Spain	2	1
Estadio Sausalito	Viña del Mar	(23)	7 June	Mexico	Czechoslovakia	3	1
Estadio El Teniente	Rancagua	(4)	30 May	Argentina	Bulgaria	1	0
Estadio El Teniente	Rancagua	(8)	31 May	Hungary	England	2	1
Estadio El Teniente	Rancagua	(12)	2 June	England	Argentina	3	1
Estadio El Teniente	Rancagua	(16)	3 June	Hungary	Bulgaria	6	1
Estadio El Teniente	Rancagua	(20)	6 June	Hungary	Argentina	0	0
Estadio El Teniente	Rancagua	(24)	7 June	England	Bulgaria	0	0
Estadio Carlos Dittborn	Arica	(25)	10 June	Chile	Soviet Union	2	1
Estadio Nacional	Santiago	(26)	10 June	Yugoslavia	West Germany	1	0
Estadio Sausalito	Viña del Mar	(27)	10 June	Brazil	England	3	1
Estadio El Teniente	Rancagua	(28)	10 June	Czechoslovakia	Hungary	1	0
Estadio Nacional	Santiago	(29)	13 June	Brazil	Chile	4	2
Estadio Sausalito	Viña del Mar	(30)	13 June	Czechoslovakia	Yugoslavia	3	1
Estadio Nacional	Santiago	(31)	16 June	Chile	Yugoslavia	1	0
Estadio Nacional	Santiago	(32)	17 June	Brazil	Czechoslovakia	3	1
Wembley Stadium	London	(1)	11 July	England	Uruguay	0	0
Wembley Stadium	London	(5)	13 July	France	Mexico	1	1
White City Stadium	London	(9)	15 July	Uruguay	France	2	1
Wembley Stadium	London	(13)	16 July	England	Mexico	2	0
Wembley Stadium	London	(17)	19 July	Mexico	Uruguay	0	0
Wembley Stadium	London	(21)	20 July	England	France	2	0
Hillsborough Stadium	Sheffield	(2)	12 July	West Germany	Switzerland	5	0
Villa Park	Birmingham	(6)	13 July	Argentina	Spain	2	1
Hillsborough Stadium	Sheffield	(10)	15 July	Spain	Switzerland	2	1
Villa Park	Birmingham	(14)	16 July	Argentina	West Germany	0	0
Hillsborough Stadium	Sheffield	(18)	19 July	Argentina	Switzerland	2	0
Villa Park	Birmingham	(22)	20 July	West Germany	Spain	2	1
Goodison Park	Liverpool	(3)	12 July	Brazil	Bulgaria	2	0
Old Trafford	Manchester	(7)	13 July	Portugal	Hungary	3	1
Goodison Park	Liverpool	(11)	15 July	Hungary	Brazil	3	1
Old Trafford	Manchester	(15)	16 July	Portugal	Bulgaria	3	0
Goodison Park	Liverpool	(19)	19 July	Portugal	Brazil	3	1
Old Trafford	Manchester	(23)	20 July	Hungary	Bulgaria	3	1
Ayresome Park	Middlesbrough	(4)	12 July	Soviet Union	North Korea	3	0
Roker Park	Sunderland	(8)	13 July	Italy	Chile	2	0
Ayresome Park	Middlesbrough	(12)	15 July	Chile	North Korea	1	1
Roker Park	Sunderland	(16)	16 July	Soviet Union	Italy	1	0
Ayresome Park	Middlesbrough	(20)	19 July	North Korea	Italy	1	0
Roker Park	Sunderland	(24)	20 July	Soviet Union	Chile	2	1
Wembley Stadium	London	(25)	23 July	England	Argentina	1	0
Hillsborough Stadium	Sheffield	(26)	23 July	West Germany	Uruguay	4	0
Roker Park	Sunderland	(27)	23 July	Soviet Union	Hungary	2	1
Goodison Park	Liverpool	(28)	23 July	Portugal	North Korea	5	3
Goodison Park	Liverpool	(29)	25 July	West Germany	Soviet Union	2	1
Wembley Stadium	London	(30)	26 July	England	Portugal	2	1
Wembley Stadium	London	(31)	28 July	Portugal	Soviet Union	2	1
Wembley Stadium	London	(32)	30 July	England	West Germany	4	2
Estadio Azteca	Mexico City	(1)	31 May	Mexico	Soviet Union	0	0
Estadio Azteca	Mexico City	(5)	3 June	Belgium	El Salvador	3	0
Estadio Azteca	Mexico City	(9)	6 June	Soviet Union	Belgium	4	1
Estadio Azteca	Mexico City	(13)	7 June	Mexico	El Salvador	4	0
Estadio Azteca	Mexico City	(17)	10 June	Soviet Union	El Salvador	2	0
Estadio Azteca	Mexico City	(21)	11 June	Mexico	Belgium	1	0
Estadio Cuauhtémoc	Puebla	(2)	2 June	Uruguay	Israel	2	0
Estadio Luis Dosal	Toluca	(6)	3 June	Italy	Sweden	1	0
Estadio Cuauhtémoc	Puebla	(10)	6 June	Uruguay	Italy	0	0
Estadio Luis Dosal	Toluca	(14)	7 June	Sweden	Israel	1	1
Estadio Cuauhtémoc	Puebla	(18)	10 June	Uruguay	Sweden	0	1
Estadio Luis Dosal	Toluca	(22)	11 June	Israel	Italy	0	0
Estadio Jalisco	Guadalajara	(3)	2 June	Romania	England	0	1
Estadio Jalisco	Guadalajara	(7)	3 June	Czechoslovakia	Brazil	1	4
Estadio Jalisco	Guadalajara	(11)	6 June	Romania	Czechoslovakia	2	1
Estadio Jalisco	Guadalajara	(15)	7 June	England	Brazil	0	1
Estadio Jalisco	Guadalajara	(19)	10 June	Romania	Brazil	2	3
Estadio Jalisco	Guadalajara	(23)	11 June	England	Czechoslovakia	1	0
Estadio Nou Camp	León	(4)	2 June	Peru	Bulgaria	3	2
Estadio Nou Camp	León	(8)	3 June	Morocco	West Germany	1	2
Estadio Nou Camp	León	(12)	6 June	Peru	Morocco	3	0
Estadio Nou Camp	León	(16)	7 June	Bulgaria	West Germany	2	5
Estadio Nou Camp	León	(20)	10 June	Peru	West Germany	1	3
Estadio Nou Camp	León	(24)	11 June	Bulgaria	Morocco	1	1
Estadio Azteca	Mexico City	(25)	14 June	Soviet Union	Uruguay	0	1
Estadio Luis Dosal	Toluca	(26)	14 June	Italy	Mexico	4	1
Estadio Jalisco	Guadalajara	(27)	14 June	Brazil	Peru	4	2
Estadio Nou Camp	León	(28)	14 June	West Germany	England	3	2
Estadio Jalisco	Guadalajara	(29)	17 June	Uruguay	Brazil	1	3
Estadio Azteca	Mexico City	(30)	17 June	Italy	West Germany	4	3
Estadio Azteca	Mexico City	(31)	20 June	Uruguay	West Germany	0	1
Estadio Azteca	Mexico City	(32)	21 June	Brazil	Italy	4	1
Olympiastadion	West Berlin	(1)	14 June	West Germany	Chile	1	0
Volksparkstadion	Hamburg	(2)	14 June	East Germany	Australia	2	0
Olympiastadion	West Berlin	(9)	18 June	Chile	East Germany	1	1
Volksparkstadion	Hamburg	(10)	18 June	Australia	West Germany	0	3
Olympiastadion	West Berlin	(17)	22 June	Australia	Chile	0	0
Volksparkstadion	Hamburg	(18)	22 June	East Germany	West Germany	1	0
