(1)  14 June    West Germany  1-0   Chile        @ Olympiastadion, West Berlin
(2)  14 June    East Germany  2-0   Australia    @ Volksparkstadion, Hamburg
(9)  18 June    Chile         1-1   East Germany   @ Olympiastadion, West Berlin
(10) 18 June    Australia     0-3   West Germany   @ Volksparkstadion, Hamburg
(17) 22 June    Australia     0-0   Chile          @ Olympiastadion, West Berlin
(18) 22 June    East Germany  1-0   West Germany   @ Volksparkstadion, Hamburg
(3)  13 June    Brazil      0-0   Yugoslavia      @ Waldstadion, Frankfurt
(4)  14 June    Zaire       0-2   Scotland        @ Westfalenstadion, Dortmund
(11) 18 June    Yugoslavia  9-0   Zaire           @ Parkstadion, Gelsenkirchen
(12) 18 June    Scotland    0-0   Brazil          @ Waldstadion, Frankfurt
(19) 22 June    Scotland    1-1   Yugoslavia      @ Waldstadion, Frankfurt
(20) 22 June    Zaire       0-3   Brazil          @ Parkstadion, Gelsenkirchen
(5)  15 June    Uruguay      0-2    Netherlands    @ Niedersachsenstadion, Hanover
(6)  15 June    Sweden       0-0    Bulgaria       @ Rheinstadion, Düsseldorf
(13) 19 June    Netherlands  0-0    Sweden         @ Westfalenstadion, Dortmund
(14) 19 June    Uruguay      1-1    Bulgaria       @ Niedersachsenstadion, Hanover
(21) 23 June    Netherlands  4-1    Bulgaria       @ Westfalenstadion, Dortmund
(22) 23 June    Sweden       3-0    Uruguay        @ Rheinstadion, Düsseldorf
(7)  15 June    Italy       3-1    Haiti          @ Olympiastadion, Munich
(8)  15 June    Poland      3-2    Argentina      @ Neckarstadion, Stuttgart
(15) 19 June    Haiti       0-7    Poland         @ Olympiastadion, Munich
(16) 19 June    Argentina   1-1    Italy          @ Neckarstadion, Stuttgart
(23) 23 June    Argentina   4-1    Haiti          @ Olympiastadion, Munich
(24) 23 June    Poland      2-1    Italy          @ Neckarstadion, Stuttgart
(25) 26 June    Brazil         1-0   East Germany     @ Niedersachsenstadion, Hanover
(26) 26 June    Netherlands    4-0   Argentina        @ Parkstadion, Gelsenkirchen
(29) 30 June    East Germany   0-2   Netherlands      @ Parkstadion, Gelsenkirchen
(30) 30 June    Argentina      1-2   Brazil           @ Niedersachsenstadion, Hanover
(33) 3 July     Argentina      1-1   East Germany     @ Parkstadion, Gelsenkirchen
(34) 3 July     Netherlands    2-0   Brazil           @ Westfalenstadion, Dortmund
(27) 26 June    Yugoslavia    0-2   West Germany   @ Rheinstadion, Düsseldorf
(28) 26 June    Sweden        0-1   Poland         @ Neckarstadion, Stuttgart
(31) 30 June    West Germany  4-2   Sweden         @ Rheinstadion, Düsseldorf
(32) 30 June    Poland        2-1   Yugoslavia     @ Waldstadion, Frankfurt
(35) 3 July     Poland        0-1   West Germany   @ Waldstadion, Frankfurt
(36) 3 July     Sweden        2-1   Yugoslavia     @ Rheinstadion, Düsseldorf
(37) 6 July     Brazil        0-1  Poland        @ Olympiastadion, Munich
(38) 7 July     Netherlands   1-2  West Germany  @ Olympiastadion, Munich
(2)  2 June   Argentina    2-1    Hungary  @ Estadio Monumental, Buenos Aires
(3)  2 June   Italy        2-1    France   @ Estadio José María Minella, Mar del Plata
(9)  6 June   Argentina    2-1    France    @ Estadio Monumental, Buenos Aires
(10) 6 June   Italy        3-1    Hungary   @ Estadio José María Minella, Mar del Plata
(17) 10 June  Argentina    0-1    Italy     @ Estadio Monumental, Buenos Aires
(18) 10 June  France       3-1    Hungary   @ Estadio José María Minella, Mar del Plata
(1)  1 June   West Germany    0-0    Poland   @ Estadio Monumental, Buenos Aires
(4)  2 June   Tunisia         3-1    Mexico   @ Estadio Gigante de Arroyito, Rosario
(11) 6 June   Poland          1-0    Tunisia  @ Estadio Gigante de Arroyito, Rosario
(12) 6 June   West Germany    6-0    Mexico   @ Estadio Chateau Carreras, Córdoba
(19) 10 June  Poland          3-1    Mexico   @ Estadio Gigante de Arroyito, Rosario
(20) 10 June  West Germany    0-0    Tunisia  @ Estadio Olímpico Chateau Carreras, Córdoba
(5)  3 June   Austria      2-1    Spain     @ Estadio José Amalfitani, Buenos Aires
(6)  3 June   Brazil       1-1    Sweden    @ Estadio José Maria Minella, Mar del Plata
(13) 7 June   Austria      1-0    Sweden    @ Estadio José Amalfitani, Buenos Aires
(14) 7 June   Brazil       0-0    Spain     @ Estadio José Maria Minella, Mar del Plata
(21) 11 June  Spain        1-0    Sweden    @ Estadio José Amalfitani, Buenos Aires
(22) 11 June  Brazil       1-0    Austria   @ Estadio José Maria Minella, Mar del Plata
(7)  3 June   Peru           3-1    Scotland     @ Estadio Chateau Carreras, Córdoba
(8)  3 June   Netherlands    3-0    Iran         @ Estadio Ciudad de Mendoza, Mendoza
(15) 7 June   Scotland       1-1    Iran         @ Estadio Chateau Carreras, Córdoba
(16) 7 June   Netherlands    0-0    Peru         @ Estadio Ciudad de Mendoza, Mendoza
(23) 11 June  Peru           4-1    Iran         @ Estadio Chateau Carreras, Córdoba
(24) 11 June  Scotland       3-2    Netherlands  @ Estadio Ciudad de Mendoza, Mendoza
(25) 14 June   Italy          0-0    West Germany  @ Estadio Monumental, Buenos Aires
(27) 14 June   Austria        1-5    Netherlands   @ Estadio Chateau Carreras, Córdoba
(29) 18 June   Italy          1-0    Austria       @ Estadio Monumental, Buenos Aires
(31) 18 June   Netherlands    2-2    West Germany  @ Estadio Chateau Carreras, Córdoba
(33) 21 June   Italy          1-2    Netherlands    @ Estadio Monumental, Buenos Aires
(35) 21 June   Austria        3-2    West Germany   @ Estadio Chateau Carreras, Córdoba
(26) 14 June   Argentina      2-0    Poland    @ Estadio Gigante de Arroyito, Rosario
(28) 14 June   Peru           0-3    Brazil    @ Estadio Ciudad de Mendoza, Mendoza
(30) 18 June   Argentina      0-0    Brazil    @ Estadio Gigante de Arroyito, Rosario
(32) 18 June   Peru           0-1    Poland    @ Estadio Ciudad de Mendoza, Mendoza
(34) 21 June   Argentina      6-0    Peru      @ Estadio Gigante de Arroyito, Rosario
(36) 21 June   Poland         1-3    Brazil    @ Estadio Ciudad de Mendoza, Mendoza
(37) 24 June    Brazil        2-1    Italy       @ Estadio Monumental, Buenos Aires
(38) 25 June   Netherlands    1-3 a.e.t. 1-1   Argentina   @ Estadio Monumental, Buenos Aires
(2)  14 June   Italy     0-0    Poland     @ Balaídos, Vigo
