year	host	stadium	city	match_order	date	team_1	team_2	team_1_score	team_2_score
2006	Germany	Olympiastadion	Berlin	(33)	2006-06-20	Ecuador	Germany	0	3
2006	Germany	AWD-Arena	Hannover	(34)	2006-06-20	Costa Rica	Poland	1	2
2006	Germany	Commerzbank-Arena	Frankfurt	(3)	2006-06-10	England	Paraguay	1	0
2006	Germany	Signal Iduna Park	Dortmund	(4)	2006-06-10	Trinidad and Tobago	Sweden	0	0
2006	Germany	Frankenstadion	Nürnberg	(19)	2006-06-15	England	Trinidad and Tobago	2	0
2006	Germany	Olympiastadion	Berlin	(20)	2006-06-15	Sweden	Paraguay	1	0
2006	Germany	RheinEnergieStadion	Köln	(35)	2006-06-20	Sweden	England	0	1
2006	Germany	Fritz-Walter-Stadion	Kaiserslautern	(36)	2006-06-20	Paraguay	Trinidad and Tobago	2	0
2006	Germany	AOL Arena	Hamburg	(5)	2006-06-10	Argentina	Côte dIvoire	2	1
2006	Germany	Zentralstadion	Leipzig	(6)	2006-06-11	Serbia and Montenegro	Netherlands	0	1
2006	Germany	Veltins-Arena	Gelsenkirchen	(21)	2006-06-16	Argentina	Serbia and Montenegro	6	0
2006	Germany	Gottlieb-Daimler-Stadion	Stuttgart	(22)	2006-06-16	Netherlands	Côte dIvoire	2	1
2006	Germany	Commerzbank-Arena	Frankfurt	(37)	2006-06-21	Netherlands	Argentina	0	0
2006	Germany	Allianz Arena	München	(38)	2006-06-21	Côte dIvoire	Serbia and Montenegro	3	2
2006	Germany	Frankenstadion	Nürnberg	(7)	2006-06-11	Mexico	Iran	3	1
2006	Germany	RheinEnergieStadion	Köln	(8)	2006-06-11	Angola	Portugal	0	1
2006	Germany	AWD-Arena	Hannover	(23)	2006-06-16	Mexico	Angola	0	0
2006	Germany	Commerzbank-Arena	Frankfurt	(24)	2006-06-17	Portugal	Iran	2	0
2006	Germany	Veltins-Arena	Gelsenkirchen	(39)	2006-06-21	Portugal	Mexico	2	1
2006	Germany	Zentralstadion	Leipzig	(40)	2006-06-21	Iran	Angola	0	0
2006	Germany	AWD-Arena	Hannover	(9)	2006-06-12	Italy	Ghana	2	0
2006	Germany	Veltins-Arena	Gelsenkirchen	(10)	2006-06-12	United States	Czech Republic	0	3
2006	Germany	Fritz-Walter-Stadion	Kaiserslautern	(25)	2006-06-17	Italy	United States	1	1
2006	Germany	RheinEnergieStadion	Köln	(26)	2006-06-17	Czech Republic	Ghana	0	2
2006	Germany	AOL Arena	Hamburg	(41)	2006-06-22	Czech Republic	Italy	0	2
2006	Germany	Frankenstadion	Nürnberg	(42)	2006-06-22	Ghana	United States	2	1
2006	Germany	Olympiastadion	Berlin	(11)	2006-06-13	Brazil	Croatia	1	0
2006	Germany	Fritz-Walter-Stadion	Kaiserslautern	(12)	2006-06-12	Australia	Japan	3	1
2006	Germany	Allianz Arena	München	(27)	2006-06-18	Brazil	Australia	2	0
2006	Germany	Frankenstadion	Nürnberg	(28)	2006-06-18	Japan	Croatia	0	0
2006	Germany	Signal Iduna Park	Dortmund	(43)	2006-06-22	Japan	Brazil	1	4
2006	Germany	Gottlieb-Daimler-Stadion	Stuttgart	(44)	2006-06-22	Croatia	Australia	1	1
2006	Germany	Gottlieb-Daimler-Stadion	Stuttgart	(13)	2006-06-13	France	Switzerland	0	0
2006	Germany	Commerzbank-Arena	Frankfurt	(14)	2006-06-13	South Korea	Togo	2	1
2006	Germany	Zentralstadion	Leipzig	(29)	2006-06-18	France	South Korea	1	0
2006	Germany	Signal Iduna Park	Dortmund	(30)	2006-06-19	Togo	Switzerland	0	2
2006	Germany	RheinEnergieStadion	Köln	(45)	2006-06-23	Togo	France	0	2
2006	Germany	AWD-Arena	Hannover	(46)	2006-06-23	Switzerland	South Korea	2	0
2006	Germany	Zentralstadion	Leipzig	(15)	2006-06-14	Spain	Ukraine	4	0
2006	Germany	Allianz Arena	München	(16)	2006-06-14	Tunisia	Saudi Arabia	1	0
2006	Germany	Gottlieb-Daimler-Stadion	Stuttgart	(31)	2006-06-19	Spain	Tunisia	3	1
2006	Germany	AOL Arena	Hamburg	(32)	2006-06-19	Saudi Arabia	Ukraine	0	4
2006	Germany	Fritz-Walter-Stadion	Kaiserslautern	(47)	2006-06-23	Saudi Arabia	Spain	0	1
2006	Germany	Olympiastadion	Berlin	(48)	2006-06-23	Ukraine	Tunisia	1	0
2010	South africa	Soccer City	Johannesburg	(1)	2010-06-11	South Africa	Mexico	1	1
2010	South africa	Cape Town Stadium	Cape Town	(2)	2010-06-11	Uruguay	France	0	0
2010	South africa	Loftus Versfeld Stadium	Pretoria	(17)	2010-06-16	South Africa	Uruguay	0	3
2010	South africa	Peter Mokaba Stadium	Polokwane	(18)	2010-06-17	France	Mexico	0	2
2010	South africa	Royal Bafokeng Stadium	Rustenburg	(33)	2010-06-22	Mexico	Uruguay	0	1
2010	South africa	Free State Stadium	Bloemfontein	(34)	2010-06-22	France	South Africa	1	2
2010	South africa	Nelson Mandela Bay Stadium	Port Elizabeth	(4)	2010-06-12	South Korea	Greece	2	0
2010	South africa	Ellis Park Stadium	Johannesburg	(3)	2010-06-12	Argentina	Nigeria	1	0
2010	South africa	Soccer City	Johannesburg	(20)	2010-06-17	Argentina	South Korea	4	1
2010	South africa	Free State Stadium	Bloemfontein	(19)	2010-06-17	Greece	Nigeria	2	1
2010	South africa	Moses Mabhida Stadium	Durban	(35)	2010-06-22	Nigeria	South Korea	2	2
2010	South africa	Peter Mokaba Stadium	Polokwane	(36)	2010-06-22	Greece	Argentina	0	2
2010	South africa	Royal Bafokeng Stadium	Rustenburg	(5)	2010-06-12	England	United States	1	1
2010	South africa	Peter Mokaba Stadium	Polokwane	(6)	2010-06-13	Algeria	Slovenia	0	1
2010	South africa	Ellis Park Stadium	Johannesburg	(22)	2010-06-18	Slovenia	United States	2	2
2010	South africa	Cape Town Stadium	Cape Town	(23)	2010-06-18	England	Algeria	0	0
2010	South africa	Loftus Versfeld Stadium	Pretoria	(38)	2010-06-23	United States	Algeria	1	0
2010	South africa	Nelson Mandela Bay Stadium	Port Elizabeth	(37)	2010-06-23	Slovenia	England	0	1
2010	South africa	Loftus Versfeld Stadium	Pretoria	(8)	2010-06-13	Serbia	Ghana	0	1
2010	South africa	Moses Mabhida Stadium	Durban	(7)	2010-06-13	Germany	Australia	4	0
2010	South africa	Nelson Mandela Bay Stadium	Port Elizabeth	(21)	2010-06-18	Germany	Serbia	0	1
2010	South africa	Royal Bafokeng Stadium	Rustenburg	(24)	2010-06-19	Ghana	Australia	1	1
2010	South africa	Mbombela Stadium	Nelspruit	(40)	2010-06-23	Australia	Serbia	2	1
2010	South africa	Soccer City	Johannesburg	(39)	2010-06-23	Ghana	Germany	0	1
2010	South africa	Soccer City	Johannesburg	(9)	2010-06-14	Netherlands	Denmark	2	0
2010	South africa	Free State Stadium	Bloemfontein	(10)	2010-06-14	Japan	Cameroon	1	0
2010	South africa	Moses Mabhida Stadium	Durban	(25)	2010-06-19	Netherlands	Japan	1	0
2010	South africa	Loftus Versfeld Stadium	Pretoria	(26)	2010-06-19	Cameroon	Denmark	1	2
2010	South africa	Royal Bafokeng Stadium	Rustenburg	(43)	2010-06-24	Denmark	Japan	1	3
2010	South africa	Cape Town Stadium	Cape Town	(44)	2010-06-24	Cameroon	Netherlands	1	2
2010	South africa	Cape Town Stadium	Cape Town	(11)	2010-06-14	Italy	Paraguay	1	1
2010	South africa	Royal Bafokeng Stadium	Rustenburg	(12)	2010-06-15	New Zealand	Slovakia	1	1
2010	South africa	Free State Stadium	Bloemfontein	(27)	2010-06-20	Slovakia	Paraguay	0	2
2010	South africa	Mbombela Stadium	Nelspruit	(28)	2010-06-20	Italy	New Zealand	1	1
2010	South africa	Ellis Park Stadium	Johannesburg	(41)	2010-06-24	Slovakia	Italy	3	2
2010	South africa	Peter Mokaba Stadium	Polokwane	(42)	2010-06-24	Paraguay	New Zealand	0	0
2010	South africa	Nelson Mandela Bay Stadium	Port Elizabeth	(13)	2010-06-15	Côte dIvoire	Portugal	0	0
2010	South africa	Ellis Park Stadium	Johannesburg	(14)	2010-06-15	Brazil	North Korea	2	1
2010	South africa	Soccer City	Johannesburg	(29)	2010-06-20	Brazil	Côte dIvoire	3	1
2010	South africa	Cape Town Stadium	Cape Town	(30)	2010-06-21	Portugal	North Korea	7	0
2010	South africa	Moses Mabhida Stadium	Durban	(45)	2010-06-25	Portugal	Brazil	0	0
2010	South africa	Mbombela Stadium	Nelspruit	(46)	2010-06-25	North Korea	Côte dIvoire	0	3
2010	South africa	Mbombela Stadium	Nelspruit	(15)	2010-06-16	Honduras	Chile	0	1
2010	South africa	Moses Mabhida Stadium	Durban	(16)	2010-06-16	Spain	Switzerland	0	1
2010	South africa	Nelson Mandela Bay Stadium	Port Elizabeth	(31)	2010-06-21	Chile	Switzerland	1	0
2010	South africa	Ellis Park Stadium	Johannesburg	(32)	2010-06-21	Spain	Honduras	2	0
2010	South africa	Loftus Versfeld Stadium	Pretoria	(47)	2010-06-25	Chile	Spain	1	2
2010	South africa	Free State Stadium	Bloemfontein	(48)	2010-06-25	Switzerland	Honduras	0	0
2014	Brazil	Arena de São Paulo	São Paulo (UTC-3)	(1)	2014-06-12	Brazil	Croatia	3	1
2014	Brazil	Estádio das Dunas	Natal (UTC-3)	(2)	2014-06-13	Mexico	Cameroon	1	0
2014	Brazil	Estádio Castelão	Fortaleza (UTC-3)	(17)	2014-06-17	Brazil	Mexico	0	0
2014	Brazil	Arena Amazônia	Manaus (UTC-4)	(18)	2014-06-18	Cameroon	Croatia	0	4
2014	Brazil	Estádio Nacional Mané Garrincha	Brasília (UTC-3)	(33)	2014-06-23	Cameroon	Brazil	1	4
2014	Brazil	Arena Pernambuco	Recife (UTC-3)	(34)	2014-06-23	Croatia	Mexico	1	3
2014	Brazil	Arena Fonte Nova	Salvador (UTC-3)	(3)	2014-06-13	Spain	Netherlands	1	5
2014	Brazil	Arena Pantanal	Cuiabá (UTC-4)	(4)	2014-06-13	Chile	Australia	3	1
2014	Brazil	Estádio do Maracanã	Rio de Janeiro (UTC-3)	(19)	2014-06-18	Spain	Chile	0	2
2014	Brazil	Estádio Beira-Rio	Porto Alegre (UTC-3)	(20)	2014-06-18	Australia	Netherlands	2	3
2014	Brazil	Arena da Baixada	Curitiba (UTC-3)	(35)	2014-06-23	Australia	Spain	0	3
2014	Brazil	Arena de São Paulo	São Paulo (UTC-3)	(36)	2014-06-23	Netherlands	Chile	2	0
2014	Brazil	Estádio Mineirão	Belo Horizonte (UTC-3)	(5)	2014-06-14	Colombia	Greece	3	0
2014	Brazil	Arena Pernambuco	Recife (UTC-3)	(6)	2014-06-14	Côte dIvoire	Japan	2	1
2014	Brazil	Estádio Nacional Mané Garrincha	Brasília (UTC-3)	(21)	2014-06-19	Colombia	Côte dIvoire	2	1
2014	Brazil	Estádio das Dunas	Natal (UTC-3)	(22)	2014-06-19	Japan	Greece	0	0
2014	Brazil	Arena Pantanal	Cuiabá (UTC-4)	(37)	2014-06-24	Japan	Colombia	1	4
2014	Brazil	Estádio Castelão	Fortaleza (UTC-3)	(38)	2014-06-24	Greece	Côte dIvoire	2	1
2014	Brazil	Estádio Castelão	Fortaleza (UTC-3)	(7)	2014-06-14	Uruguay	Costa Rica	1	3
2014	Brazil	Arena Amazônia	Manaus (UTC-4)	(8)	2014-06-14	England	Italy	1	2
2014	Brazil	Arena de São Paulo	São Paulo (UTC-3)	(23)	2014-06-19	Uruguay	England	2	1
2014	Brazil	Arena Pernambuco	Recife (UTC-3)	(24)	2014-06-20	Italy	Costa Rica	0	1
2014	Brazil	Estádio das Dunas	Natal (UTC-3)	(39)	2014-06-24	Italy	Uruguay	0	1
2014	Brazil	Estádio Mineirão	Belo Horizonte (UTC-3)	(40)	2014-06-24	Costa Rica	England	0	0
2014	Brazil	Estádio Nacional Mané Garrincha	Brasília (UTC-3)	(9)	2014-06-15	Switzerland	Ecuador	2	1
2014	Brazil	Estádio Beira-Rio	Porto Alegre (UTC-3)	(10)	2014-06-15	France	Honduras	3	0
2014	Brazil	Arena Fonte Nova	Salvador (UTC-3)	(25)	2014-06-20	Switzerland	France	2	5
2014	Brazil	Arena da Baixada	Curitiba (UTC-3)	(26)	2014-06-20	Honduras	Ecuador	1	2
2014	Brazil	Arena Amazônia	Manaus (UTC-4)	(41)	2014-06-25	Honduras	Switzerland	0	3
2014	Brazil	Estádio do Maracanã	Rio de Janeiro (UTC-3)	(42)	2014-06-25	Ecuador	France	0	0
2014	Brazil	Estádio do Maracanã	Rio de Janeiro (UTC-3)	(11)	2014-06-15	Argentina	BosniaHerzegovina	2	1
2014	Brazil	Arena da Baixada	Curitiba (UTC-3)	(12)	2014-06-16	Iran	Nigeria	0	0
2014	Brazil	Estádio Mineirão	Belo Horizonte (UTC-3)	(27)	2014-06-21	Argentina	Iran	1	0
2014	Brazil	Arena Pantanal	Cuiabá (UTC-4)	(28)	2014-06-21	Nigeria	BosniaHerzegovina	1	0
2014	Brazil	Estádio Beira-Rio	Porto Alegre (UTC-3)	(43)	2014-06-25	Nigeria	Argentina	2	3
2014	Brazil	Arena Fonte Nova	Salvador (UTC-3)	(44)	2014-06-25	BosniaHerzegovina	Iran	3	1
2014	Brazil	Arena Fonte Nova	Salvador (UTC-3)	(13)	2014-06-16	Germany	Portugal	4	0
2014	Brazil	Estádio das Dunas	Natal (UTC-3)	(14)	2014-06-16	Ghana	United States	1	2
2014	Brazil	Estádio Castelão	Fortaleza (UTC-3)	(29)	2014-06-21	Germany	Ghana	2	2
2014	Brazil	Arena Amazônia	Manaus (UTC-4)	(30)	2014-06-22	United States	Portugal	2	2
2014	Brazil	Arena Pernambuco	Recife (UTC-3)	(45)	2014-06-26	United States	Germany	0	1
2014	Brazil	Estádio Nacional Mané Garrincha	Brasília (UTC-3)	(46)	2014-06-26	Portugal	Ghana	2	1
2014	Brazil	Estádio Mineirão	Belo Horizonte (UTC-3)	(15)	2014-06-17	Belgium	Algeria	2	1
2014	Brazil	Arena Pantanal	Cuiabá (UTC-4)	(16)	2014-06-17	Russia	South Korea	1	1
2014	Brazil	Estádio do Maracanã	Rio de Janeiro (UTC-3)	(31)	2014-06-22	Belgium	Russia	1	0
2014	Brazil	Estádio Beira-Rio	Porto Alegre (UTC-3)	(32)	2014-06-22	South Korea	Algeria	2	4
2014	Brazil	Arena de São Paulo	São Paulo (UTC-3)	(47)	2014-06-26	South Korea	Belgium	0	1
2014	Brazil	Arena da Baixada	Curitiba (UTC-3)	(48)	2014-06-26	Algeria	Russia	1	1
2018	Russia	Luzhniki Stadium	Moscow (UTC+3)	(1)	2018-06-14	Russia	Saudi Arabia	5	0
2018	Russia	Ekaterinburg Arena	Ekaterinburg (UTC+5)	(2)	2018-06-15	Egypt	Uruguay	0	1
2018	Russia	Saint Petersburg Stadium	Saint Petersburg (UTC+3)	(17)	2018-06-19	Russia	Egypt	3	1
2018	Russia	Rostov Arena	Rostov-on-Don (UTC+3)	(18)	2018-06-20	Uruguay	Saudi Arabia	1	0
2018	Russia	Samara Arena	Samara (UTC+4)	(33)	2018-06-25	Uruguay	Russia	3	0
2018	Russia	Volgograd Arena	Volgograd (UTC+3)	(34)	2018-06-25	Saudi Arabia	Egypt	2	1
2018	Russia	Saint Petersburg Stadium	Saint Petersburg (UTC+3)	(4)	2018-06-15	Morocco	Iran	0	1
2018	Russia	Fisht Stadium	Sochi (UTC+3)	(3)	2018-06-15	Portugal	Spain	2	1
2018	Russia	Luzhniki Stadium	Moscow (UTC+3)	(19)	2018-06-20	Portugal	Morocco	1	0
2018	Russia	Kazan Arena	Kazan (UTC+3)	(20)	2018-06-20	Iran	Spain	0	1
2018	Russia	Mordovia Arena	Saransk (UTC+3)	(35)	2018-06-25	Iran	Portugal	0	1
2018	Russia	Kaliningrad Stadium	Kaliningrad (UTC+2)	(36)	2018-06-25	Spain	Morocco	1	1
2018	Russia	Kazan Arena	Kazan (UTC+3)	(5)	2018-06-16	France	Australia	2	1
2018	Russia	Mordovia Arena	Saransk (UTC+3)	(6)	2018-06-16	Peru	Denmark	0	1
2018	Russia	Samara Arena	Samara (UTC+4)	(22)	2018-06-21	Denmark	Australia	1	1
2018	Russia	Ekaterinburg Arena	Ekaterinburg (UTC+5)	(21)	2018-06-21	France	Peru	1	0
2018	Russia	Luzhniki Stadium	Moscow (UTC+3)	(37)	2018-06-26	Denmark	France	0	0
2018	Russia	Fisht Stadium	Sochi (UTC+3)	(38)	2018-06-26	Australia	Peru	0	2
2018	Russia	Spartak Stadium	Moscow (UTC+3)	(7)	2018-06-16	Argentina	Iceland	1	1
2018	Russia	Kaliningrad Stadium	Kaliningrad (UTC+2)	(8)	2018-06-16	Croatia	Nigeria	2	0
2018	Russia	Nizhny Novgorod Stadium	Nizhny Novgorod (UTC+3)	(23)	2018-06-21	Argentina	Croatia	0	3
2018	Russia	Volgograd Arena	Volgograd (UTC+3)	(24)	2018-06-22	Nigeria	Iceland	2	0
2018	Russia	Saint Petersburg Stadium	Saint Petersburg (UTC+3)	(39)	2018-06-26	Nigeria	Argentina	1	2
2018	Russia	Rostov Arena	Rostov-on-Don (UTC+3)	(40)	2018-06-26	Iceland	Croatia	1	2
2018	Russia	Samara Arena	Samara (UTC+4)	(10)	2018-06-17	Costa Rica	Serbia	0	1
2018	Russia	Rostov Arena	Rostov-on-Don (UTC+3)	(9)	2018-06-17	Brazil	Switzerland	1	0
2018	Russia	Saint Petersburg Stadium	Saint Petersburg (UTC+3)	(25)	2018-06-22	Brazil	Costa Rica	2	0
2018	Russia	Kaliningrad Stadium	Kaliningrad (UTC+2)	(26)	2018-06-22	Serbia	Switzerland	1	2
2018	Russia	Spartak Stadium	Moscow (UTC+3)	(41)	2018-06-27	Serbia	Brazil	0	2
2018	Russia	Nizhny Novgorod Stadium	Nizhny Novgorod (UTC+3)	(42)	2018-06-27	Switzerland	Costa Rica	1	0
2018	Russia	Luzhniki Stadium	Moscow (UTC+3)	(11)	2018-06-17	Germany	Mexico	0	1
2018	Russia	Nizhny Novgorod Stadium	Nizhny Novgorod (UTC+3)	(12)	2018-06-18	Sweden	South Korea	1	0
2018	Russia	Rostov Arena	Rostov-on-Don (UTC+3)	(28)	2018-06-23	South Korea	Mexico	1	2
2018	Russia	Fisht Stadium	Sochi (UTC+3)	(27)	2018-06-23	Germany	Sweden	2	1
2018	Russia	Kazan Arena	Kazan (UTC+3)	(43)	2018-06-27	South Korea	Germany	2	0
2018	Russia	Ekaterinburg Arena	Ekaterinburg (UTC+5)	(44)	2018-06-27	Mexico	Sweden	0	3
2018	Russia	Fisht Stadium	Sochi (UTC+3)	(13)	2018-06-18	Belgium	Panama	3	0
2018	Russia	Volgograd Arena	Volgograd (UTC+3)	(14)	2018-06-18	Tunisia	England	1	2
2018	Russia	Spartak Stadium	Moscow (UTC+3)	(29)	2018-06-23	Belgium	Tunisia	5	2
2018	Russia	Nizhny Novgorod Stadium	Nizhny Novgorod (UTC+3)	(30)	2018-06-24	England	Panama	6	1
2018	Russia	Kaliningrad Stadium	Kaliningrad (UTC+2)	(45)	2018-06-28	England	Belgium	0	1
2018	Russia	Mordovia Arena	Saransk (UTC+3)	(46)	2018-06-28	Panama	Tunisia	1	2
2018	Russia	Mordovia Arena	Saransk (UTC+3)	(16)	2018-06-19	Colombia	Japan	1	2
2018	Russia	Spartak Stadium	Moscow (UTC+3)	(15)	2018-06-19	Poland	Senegal	1	2
2018	Russia	Ekaterinburg Arena	Ekaterinburg (UTC+5)	(32)	2018-06-24	Japan	Senegal	1	1
2018	Russia	Kazan Arena	Kazan (UTC+3)	(31)	2018-06-24	Poland	Colombia	0	3
2018	Russia	Volgograd Arena	Volgograd (UTC+3)	(47)	2018-06-28	Japan	Poland	0	1
2018	Russia	Samara Arena	Samara (UTC+4)	(48)	2018-06-28	Senegal	Colombia	0	1
1986	Mexico	Estadio Azteca	Mexico City	(37)	1986-06-15	Mexico	Bulgaria	2	0
1986	Mexico	Estadio Nou Camp	León	(38)	1986-06-15	Soviet Union	Belgium	3	4
1986	Mexico	Estadio Cuauhtémoc	Puebla	(39)	1986-06-16	Argentina	Uruguay	1	0
1986	Mexico	Estadio Jalisco	Guadalajara	(40)	1986-06-16	Brazil	Poland	4	0
1986	Mexico	Estadio Olímpico Universitario	Mexico City	(41)	1986-06-17	Italy	France	0	2
1986	Mexico	Estadio Universitario	Monterrey	(42)	1986-06-17	Morocco	West Germany	0	1
1986	Mexico	Estadio Azteca	Mexico City	(43)	1986-06-18	England	Paraguay	3	0
1986	Mexico	Estadio La Corregidora	Querétaro	(44)	1986-06-18	Denmark	Spain	1	5
1986	Mexico	Estadio Jalisco	Guadalajara	(45)	1986-06-21	Brazil	France	3	4
1986	Mexico	Estadio Universitario	Monterrey	(46)	1986-06-21	West Germany	Mexico	4	1
1986	Mexico	Estadio Cuauhtémoc	Puebla	(47)	1986-06-22	Spain	Belgium	4	5
1986	Mexico	Estadio Azteca	Mexico City	(48)	1986-06-22	Argentina	England	2	1
1986	Mexico	Estadio Azteca	Mexico City	(49)	1986-06-25	Argentina	Belgium	2	0
1986	Mexico	Estadio Jalisco	Guadalajara	(50)	1986-06-25	France	West Germany	0	2
1986	Mexico	Estadio Cuauhtémoc	Puebla	(51)	1986-06-28	France	Belgium	4	2
1986	Mexico	Estadio Azteca	Mexico City	(52)	1986-06-29	Argentina	West Germany	3	2
1990	Italy	Stadio San Paolo	Naples	(37)	1990-06-23	Cameroon	Colombia	2	1
1990	Italy	Stadio San Nicola	Bari	(38)	1990-06-23	Czechoslovakia	Costa Rica	4	1
1990	Italy	Stadio Delle Alpi	Turin	(39)	1990-06-24	Brazil	Argentina	0	1
1990	Italy	San Siro	Milan	(40)	1990-06-24	West Germany	Netherlands	2	1
1990	Italy	Stadio Luigi Ferraris	Genoa	(41)	1990-06-25	Ireland	Romania	5	4
1990	Italy	Stadio Olimpico	Rome	(42)	1990-06-25	Italy	Uruguay	2	0
1990	Italy	Stadio Marc'Antonio Bentegodi	Verona	(43)	1990-06-26	Spain	Yugoslavia	1	2
1990	Italy	Stadio Renato Dall'Ara	Bologna	(44)	1990-06-26	England	Belgium	1	0
1990	Italy	Stadio Artemio Franchi	Florence	(45)	1990-06-30	Yugoslavia	Argentina	2	3
1990	Italy	Stadio Olimpico	Rome	(46)	1990-06-30	Italy	Ireland	1	0
1990	Italy	San Siro	Milan	(47)	1990-07-01	West Germany	Czechoslovakia	1	0
1990	Italy	Stadio San Paolo	Naples	(48)	1990-07-01	England	Cameroon	3	2
1990	Italy	Stadio San Paolo	Naples	(49)	1990-07-03	Italy	Argentina	3	4
1990	Italy	Stadio delle Alpi	Turin	(50)	1990-07-04	West Germany	England	4	3
1990	Italy	Stadio San Nicola	Bari	(51)	1990-07-07	Italy	England	2	1
1990	Italy	Stadio Olimpico	Rome	(52)	1990-07-08	West Germany	Argentina	1	0
1994	United states	Soldier Field	Chicago	(37)	1994-07-02	Germany	Belgium	3	2
1994	United states	RFK Stadium	Washington	(38)	1994-07-02	Spain	Switzerland	3	0
1994	United states	Cotton Bowl	Dallas	(39)	1994-07-03	Saudi Arabia	Sweden	1	3
1994	United states	Rose Bowl	Pasadena	(40)	1994-07-03	Romania	Argentina	3	2
1994	United states	Citrus Bowl	Orlando	(41)	1994-07-04	Netherlands	Ireland	2	0
1994	United states	Stanford Stadium	Stanford	(42)	1994-07-04	Brazil	United States	1	0
1994	United states	Foxboro Stadium	Foxborough	(43)	1994-07-05	Nigeria	Italy	1	2
1994	United states	Giants Stadium	East Rutherford	(44)	1994-07-05	Mexico	Bulgaria	1	3
1994	United states	Foxboro Stadium	Foxborough	(45)	1994-07-09	Italy	Spain	2	1
1994	United states	Cotton Bowl	Dallas	(46)	1994-07-09	Netherlands	Brazil	2	3
1994	United states	Giants Stadium	East Rutherford	(47)	1994-07-10	Bulgaria	Germany	2	1
1994	United states	Stanford Stadium	Stanford	(48)	1994-07-10	Romania	Sweden	4	5
1994	United states	Giants Stadium	East Rutherford	(49)	1994-07-13	Bulgaria	Italy	1	2
1994	United states	Rose Bowl	Pasadena	(50)	1994-07-13	Sweden	Brazil	0	1
1994	United states	Rose Bowl	Pasadena	(51)	1994-07-16	Sweden	Bulgaria	4	0
1994	United states	Rose Bowl	Pasadena	(52)	1994-07-17	Brazil	Italy	3	2
1998	France	Parc des Princes	Paris	(49)	1998-06-27	Brazil	Chile	4	1
1998	France	Stade Vélodrome	Marseille	(50)	1998-06-27	Italy	Norway	1	0
1998	France	Stade de France	Saint-Denis	(51)	1998-06-28	Nigeria	Denmark	1	4
1998	France	Stade Félix Bollaert	Lens	(52)	1998-06-28	France	Paraguay	1	0
1998	France	Stade de la Mosson	Montpellier	(53)	1998-06-29	Germany	Mexico	2	1
1998	France	Stade de Toulouse	Toulouse	(54)	1998-06-29	Netherlands	Yugoslavia	2	1
1998	France	Stade Geoffroy-Guichard	Saint-Étienne	(55)	1998-06-30	Argentina	England	4	3
1998	France	Parc Lescure	Bordeaux	(56)	1998-06-30	Romania	Croatia	0	1
1998	France	Stade de France	Saint-Denis	(57)	1998-07-03	Italy	France	3	4
1998	France	Stade de la Beaujoire	Nantes	(58)	1998-07-03	Brazil	Denmark	3	2
1998	France	Stade Gerland	Lyon	(59)	1998-07-04	Germany	Croatia	0	3
1998	France	Stade Vélodrome	Marseille	(60)	1998-07-04	Netherlands	Argentina	2	1
1998	France	Stade Vélodrome	Marseille	(61)	1998-07-07	Brazil	Netherlands	4	2
1998	France	Stade de France	Saint-Denis	(62)	1998-07-08	France	Croatia	2	1
1998	France	Parc des Princes	Paris	(63)	1998-07-11	Netherlands	Croatia	1	2
1998	France	Stade de France	Saint-Denis	(64)	1998-07-12	Brazil	France	0	3
2002	South Korea and Japan	Jeju World Cup Stadium	Jeju	(49)	2002-06-15	Germany	Paraguay	1	0
2002	South Korea and Japan	Niigata Stadium	Niigata	(50)	2002-06-15	Denmark	England	0	3
2002	South Korea and Japan	Ōita Stadium	Ōita	(51)	2002-06-16	Sweden	Senegal	1	2
2002	South Korea and Japan	Suwon World Cup Stadium	Suwon	(52)	2002-06-16	Spain	Ireland	3	2
2002	South Korea and Japan	Jeonju World Cup Stadium	Jeonju	(53)	2002-06-17	Mexico	United States	0	2
2002	South Korea and Japan	Kobe Wing Stadium	Kobe	(54)	2002-06-17	Brazil	Belgium	2	0
2002	South Korea and Japan	Miyagi Stadium	Miyagi	(55)	2002-06-18	Japan	Turkey	0	1
2002	South Korea and Japan	Daejeon World Cup Stadium	Daejeon	(56)	2002-06-18	South Korea	Italy	2	1
2002	South Korea and Japan	Shizuoka Stadium	Shizuoka	(57)	2002-06-21	England	Brazil	1	2
2002	South Korea and Japan	Munsu Cup Stadium	Ulsan	(58)	2002-06-21	Germany	United States	1	0
2002	South Korea and Japan	Gwangju World Cup Stadium	Gwangju	(59)	2002-06-22	Spain	South Korea	3	5
2002	South Korea and Japan	Nagai Stadium	Osaka	(60)	2002-06-22	Senegal	Turkey	0	1
2002	South Korea and Japan	Seoul World Cup Stadium	Seoul	(61)	2002-06-25	Germany	South Korea	1	0
2002	South Korea and Japan	Saitama Stadium	Saitama	(62)	2002-06-26	Brazil	Turkey	1	0
2002	South Korea and Japan	Daegu World Cup Stadium	Daegu	(63)	2002-06-29	South Korea	Turkey	2	3
2002	South Korea and Japan	International Stadium Yokohama	Yokohama	(64)	2002-06-30	Germany	Brazil	0	2
2006	Germany	Allianz Arena	München	(49)	2006-06-24	Germany	Sweden	2	0
2006	Germany	Zentralstadion	Leipzig	(50)	2006-06-24	Argentina	Mexico	2	1
2006	Germany	Gottlieb-Daimler-Stadion	Stuttgart	(51)	2006-06-25	England	Ecuador	1	0
