year	host	stadium	city	match_order	date	team_1	team_2	team_1_score	team_2_score
1954	Switzerland	Hardturm Stadium	Zürich	(23)	1954-07-03	Uruguay	Austria	1	3
1954	Switzerland	Wankdorf Stadium	Bern	(24)	1954-07-04	Hungary	West Germany	2	3
1958	Sweden	Malmö Stadion	Malmö	(7)	1958-06-08	West Germany	Argentina	3	1
1958	Sweden	Örjans Vall	Halmstad	(8)	1958-06-08	Northern Ireland	Czechoslovakia	1	0
1958	Sweden	Örjans Vall	Halmstad	(15)	1958-06-11	Argentina	Northern Ireland	3	1
1958	Sweden	Olympiastadion	Helsingborg	(14)	1958-06-11	West Germany	Czechoslovakia	2	2
1958	Sweden	Malmö Stadion	Malmö	(23)	1958-06-15	West Germany	Northern Ireland	2	2
1958	Sweden	Olympiastadion	Helsingborg	(24)	1958-06-15	Czechoslovakia	Argentina	6	1
1958	Sweden	Malmö Stadion	Malmö	(35)	1958-06-17	Northern Ireland	Czechoslovakia	2	1
1958	Sweden	Idrottsparken	Norrköping	(3)	1958-06-08	France	Paraguay	7	3
1958	Sweden	Arosvallen	Västerås	(4)	1958-06-08	Yugoslavia	Scotland	1	1
1958	Sweden	Arosvallen	Västerås	(11)	1958-06-11	Yugoslavia	France	3	2
1958	Sweden	Idrottsparken	Norrköping	(10)	1958-06-11	Paraguay	Scotland	3	2
1958	Sweden	Eyravallen	Örebro	(20)	1958-06-15	France	Scotland	2	1
1958	Sweden	Tunavallen	Eskilstuna	(19)	1958-06-15	Paraguay	Yugoslavia	3	3
1958	Sweden	Råsunda Stadium	Solna	(1)	1958-06-08	Sweden	Mexico	3	0
1958	Sweden	Jernvallen	Sandviken	(2)	1958-06-08	Hungary	Wales	1	1
1958	Sweden	Råsunda Stadium	Solna	(9)	1958-06-11	Mexico	Wales	1	1
1958	Sweden	Råsunda Stadium	Solna	(16)	1958-06-12	Sweden	Hungary	2	1
1958	Sweden	Råsunda Stadium	Solna	(17)	1958-06-15	Sweden	Wales	0	0
1958	Sweden	Jernvallen	Sandviken	(18)	1958-06-15	Hungary	Mexico	4	0
1958	Sweden	Råsunda Stadium	Solna	(33)	1958-06-17	Wales	Hungary	2	1
1958	Sweden	Rimnersvallen	Uddevalla	(6)	1958-06-08	Brazil	Austria	3	0
1958	Sweden	Ullevi	Gothenburg	(5)	1958-06-08	Soviet Union	England	2	2
1958	Sweden	Ullevi	Gothenburg	(12)	1958-06-11	Brazil	England	0	0
1958	Sweden	Ryavallen	Borås	(13)	1958-06-11	Soviet Union	Austria	2	0
1958	Sweden	Ryavallen	Borås	(22)	1958-06-15	England	Austria	2	2
1958	Sweden	Ullevi	Gothenburg	(21)	1958-06-15	Brazil	Soviet Union	2	0
1958	Sweden	Ullevi	Gothenburg	(34)	1958-06-17	Soviet Union	England	1	0
1958	Sweden	Idrottsparken	Norrköping	(26)	1958-06-19	France	Northern Ireland	4	0
1958	Sweden	Råsunda Stadium	Solna	(25)	1958-06-19	Sweden	Soviet Union	2	0
1958	Sweden	Ullevi	Gothenburg	(27)	1958-06-19	Brazil	Wales	1	0
1958	Sweden	Malmö Stadion	Malmö	(28)	1958-06-19	West Germany	Yugoslavia	1	0
1958	Sweden	Råsunda Stadium	Solna	(29)	1958-06-24	France	Brazil	2	5
1958	Sweden	Ullevi	Gothenburg	(30)	1958-06-24	West Germany	Sweden	1	3
1958	Sweden	Ullevi	Gothenburg	(31)	1958-06-28	West Germany	France	3	6
1958	Sweden	Råsunda Stadium	Solna	(32)	1958-06-29	Sweden	Brazil	2	5
1962	Chile	Estadio Carlos Dittborn	Arica	(1)	1962-05-30	Uruguay	Colombia	2	1
1962	Chile	Estadio Carlos Dittborn	Arica	(5)	1962-05-31	Soviet Union	Yugoslavia	2	0
1962	Chile	Estadio Carlos Dittborn	Arica	(9)	1962-06-02	Yugoslavia	Uruguay	3	1
1962	Chile	Estadio Carlos Dittborn	Arica	(13)	1962-06-03	Soviet Union	Colombia	4	4
1962	Chile	Estadio Carlos Dittborn	Arica	(17)	1962-06-06	Soviet Union	Uruguay	2	1
1962	Chile	Estadio Carlos Dittborn	Arica	(21)	1962-06-07	Yugoslavia	Colombia	5	0
1962	Chile	Estadio Nacional	Santiago	(2)	1962-05-30	Chile	Switzerland	3	1
1962	Chile	Estadio Nacional	Santiago	(6)	1962-05-31	West Germany	Italy	0	0
1962	Chile	Estadio Nacional	Santiago	(10)	1962-06-02	Chile	Italy	2	0
1962	Chile	Estadio Nacional	Santiago	(14)	1962-06-03	West Germany	Switzerland	2	1
1962	Chile	Estadio Nacional	Santiago	(18)	1962-06-06	West Germany	Chile	2	0
1962	Chile	Estadio Nacional	Santiago	(22)	1962-06-07	Italy	Switzerland	3	0
1962	Chile	Estadio Sausalito	Viña del Mar	(3)	1962-05-30	Brazil	Mexico	2	0
1962	Chile	Estadio Sausalito	Viña del Mar	(7)	1962-05-31	Czechoslovakia	Spain	1	0
1962	Chile	Estadio Sausalito	Viña del Mar	(11)	1962-06-02	Brazil	Czechoslovakia	0	0
1962	Chile	Estadio Sausalito	Viña del Mar	(15)	1962-06-03	Spain	Mexico	1	0
1962	Chile	Estadio Sausalito	Viña del Mar	(19)	1962-06-06	Brazil	Spain	2	1
1962	Chile	Estadio Sausalito	Viña del Mar	(23)	1962-06-07	Mexico	Czechoslovakia	3	1
1962	Chile	Estadio El Teniente	Rancagua	(4)	1962-05-30	Argentina	Bulgaria	1	0
1962	Chile	Estadio El Teniente	Rancagua	(8)	1962-05-31	Hungary	England	2	1
1962	Chile	Estadio El Teniente	Rancagua	(12)	1962-06-02	England	Argentina	3	1
1962	Chile	Estadio El Teniente	Rancagua	(16)	1962-06-03	Hungary	Bulgaria	6	1
1962	Chile	Estadio El Teniente	Rancagua	(20)	1962-06-06	Hungary	Argentina	0	0
1962	Chile	Estadio El Teniente	Rancagua	(24)	1962-06-07	England	Bulgaria	0	0
